input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
DigiPen Institute of Technology,School of Visual Arts,Champlain College,Florida Polytechnic University,Pratt Institute-Main,Minneapolis College of Art and Design,Kettering University,Illinois Institute of Technology,Pennsylvania College of Health Sciences,Rose-Hulman Institute of Technology,Bentley University
Neumont College of Computer Science,University of Minnesota-Rochester,University of Health Sciences and Pharmacy in St. Louis,Dakota State University,Cleveland Institute of Art,DeVry University-Illinois,Florida College,Multnomah University,LIM College,Jersey College,Culinary Institute of America
Johnson & Wales University-Charlotte,Johnson & Wales University-Providence,West Liberty University,Henderson State University,Nichols College,Marietta College,University of Mount Union,Auburn University at Montgomery,Franklin Pierce University,Keystone College,Life University
Visible Music College,Manhattan Christian College,Kentucky Mountain Bible College,Minneapolis College of Art and Design,Southwestern College,Calvary University,Trinity Bible College and Graduate School,Maryland Institute College of Art,John A Gupton College,Kettering College,Oklahoma Wesleyan University
Patrick Henry College,Westmont College,Covenant College,Grove City College,Principia College,Thomas Aquinas College,New Saint Andrews College,University of Mary Washington,Holy Cross College,Soka University of America,University of Denver
Jersey College,Reading Hospital School of Health Sciences,The Christ College of Nursing and Health Sciences,Pennsylvania College of Health Sciences,University of Minnesota-Rochester,Cabarrus College of Health Sciences,Aultman College of Nursing and Health Sciences,University of Health Sciences and Pharmacy in St. Louis,D'Youville  University,MCPHS University,Mercy College of Ohio
University of Minnesota-Rochester,University of Health Sciences and Pharmacy in St. Louis,Pennsylvania College of Health Sciences,Aultman College of Nursing and Health Sciences,MCPHS University,The Christ College of Nursing and Health Sciences,D'Youville  University,Jersey College,Reading Hospital School of Health Sciences,William Jewell College,Albany College of Pharmacy and Health Sciences
Texas A&M University-San Antonio,University of Houston-Downtown,University of North Texas at Dallas,University of Houston-Clear Lake,Texas A & M International University,The University of Texas Permian Basin,Columbus State University,Texas A & M University-Corpus Christi,Colorado State University Pueblo,Angelo State University,Nicholls State University
John Paul the Great Catholic University,Clarke University,Caldwell University,Regis University,University of the Incarnate Word,College of Mount Saint Vincent,Ottawa University-Surprise,Dominican University,Felician University,Marywood University,Saint Edward's University
University of Connecticut-Hartford Campus,University of Connecticut-Waterbury Campus,University of Connecticut-Stamford,University of Connecticut-Avery Point,University of Colorado Denver/Anschutz Medical Campus,Wayne State University,Rutgers University-Camden,Pennsylvania State University-Penn State Scranton,Pennsylvania State University-World Campus,Adelphi University,University of Massachusetts-Boston
Ottawa University-Surprise,Ottawa University-Ottawa,Tabor College,Huntingdon College,McMurry University,Howard Payne University,Franklin College,Bethany College,Brevard College,Pfeiffer University,Williams Baptist University
Pennsylvania State University-World Campus,Pennsylvania State University-Penn State Harrisburg,Pennsylvania State University-Penn State Beaver,Pennsylvania State University-Penn State Brandywine,Pennsylvania State University-Penn State Abington,Pennsylvania State University-Penn State Scranton,Pennsylvania State University-Penn State Lehigh Valley,University of Connecticut-Avery Point,Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania State University-Penn State Greater Allegheny,Pennsylvania State University-Penn State Hazleton
Augusta University,Indiana University-South Bend,Austin Peay State University,McNeese State University,University of Southern Maine,University of South Carolina-Upstate,University of Wisconsin-Parkside,Columbus State University,Northwestern State University of Louisiana,University of Michigan-Flint,University of Arkansas at Little Rock
Middle Georgia State University,Arkansas Tech University,Wright State University-Main Campus,Jacksonville State University,The University of Texas at Tyler,University of West Georgia,Saint Cloud State University,Fairmont State University,Saginaw Valley State University,Southeast Missouri State University,Indiana University-South Bend
DeVry University-Illinois,Jersey College,University of Wisconsin-Milwaukee,Indiana University-Purdue University-Indianapolis,Kennesaw State University,Minnesota State University-Mankato,Wichita State University,Neumont College of Computer Science,Northern Kentucky University,Oakland University,University of North Florida
University of North Georgia,University of North Florida,University of Central Oklahoma,University of Wisconsin-Milwaukee,Southeastern Louisiana University,Minnesota State University-Mankato,Middle Tennessee State University,University of Louisville,Northern Kentucky University,Wichita State University,University of Nebraska at Omaha
